formulation,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,heuristics_effort,detect_symmetry,instance_id,N_g,k_identical,seed,config_label,solver,error
three_bin,24,24,2304,4656.0,1728,0.041635542000000025,0.047807957999999984,1501901.0739572912,1189,2.309233666,1506775.470439736,1506363.453725948,0.0002734426740221566,1,3472,True,Optimal,0.3234985290158921,on,0.05,True,Ng24_k1_T24_s44,24,1,44,default,highs,
three_bin,24,24,2304,4656.0,1728,0.042657583,0.05156045800000003,1488326.0097155282,1339,2.397775292,1525317.7285112094,1524286.4549519168,0.0006761040929478282,1,3558,True,Optimal,2.42518120023341,on,0.05,True,Ng24_k1_T24_s42,24,1,42,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04714320800000005,0.058225375000000135,1583720.6578184713,1772,0.3973252500000002,1617762.9786065524,1617762.9786065521,0.0,1,2153,True,Optimal,2.1042835840762733,on,0.05,True,Ng24_k16_T24_s44,24,16,44,default,highs,
three_bin,24,24,2304,4656.0,1728,0.047007457999999946,0.08147816700000021,1573575.4588281398,2217,0.17845533300000005,1576601.8821159718,1576341.8821159718,0.00016491163872711583,1,2094,True,Optimal,0.1919586245685661,on,0.05,True,Ng24_k24_T24_s42,24,24,42,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04961812500000007,0.053103042000000045,1520571.2718911676,1253,1.571938166,1570904.8749949099,1570904.8749949099,0.0,1,3712,True,Optimal,3.2041152780753404,on,0.05,True,Ng24_k8_T24_s44,24,8,44,default,highs,
three_bin,24,24,2304,4656.0,1728,0.05190229100000021,0.09945666700000011,1569013.7682951568,2284,0.4613241669999999,1570653.4783664378,1570653.4783664378,0.0,1,2793,True,Optimal,0.10439667908076382,on,0.05,True,Ng24_k24_T24_s43,24,24,43,default,highs,
three_bin,24,24,2304,4656.0,1728,0.045625833999999976,0.06002729099999993,1566179.233081003,1718,0.7307940419999999,1567403.0205963359,1567210.638214141,0.000122739576016501,1,3416,True,Optimal,0.07807739931924584,on,0.05,True,Ng24_k16_T24_s46,24,16,46,default,highs,
three_bin,24,24,2304,4656.0,1728,0.03751429099999992,0.07703362499999988,1513001.7014878474,1678,0.809062167,1551698.439899936,1551698.439899936,0.0,1,3801,True,Optimal,2.4938311089997707,on,0.05,True,Ng24_k16_T24_s45,24,16,45,default,highs,
three_bin,24,24,2304,4656.0,1728,0.05258062500000005,0.0833962920000002,1513155.3962850287,2016,1.131697875,1572430.4904937951,1572426.1732676243,2.7455752078677175e-06,1,4901,True,Optimal,3.7696479791709034,on,0.05,True,Ng24_k16_T24_s43,24,16,43,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04308654100000009,0.08242433300000007,1566267.5427864073,2085,0.26439366600000014,1567907.7521237913,1567517.7521237913,0.00024873912350502125,1,2238,True,Optimal,0.10461134178093373,on,0.05,True,Ng24_k24_T24_s45,24,24,45,default,highs,
